month,policeprecinct,requesttype,n
2022-12,RAMPART,Electronic Waste,74
2022-12,RAMPART,Graffiti Removal,2346
2022-12,RAMPART,Homeless Encampment,303
2022-12,RAMPART,Illegal Dumping Pickup,315
2022-12,RAMPART,Metal/Household Appliances,186
2022-12,RAMPART,Multiple Streetlight Issue,81
2022-12,RAMPART,Single Streetlight Issue,72
2022-12,SOUTHEAST,Bulky Items,1719
2022-12,SOUTHEAST,Dead Animal Removal,120
2022-12,SOUTHEAST,Electronic Waste,117
2022-12,SOUTHEAST,Graffiti Removal,1070
2022-12,SOUTHEAST,Homeless Encampment,110
2022-12,SOUTHEAST,Illegal Dumping Pickup,459
2022-12,SOUTHEAST,Metal/Household Appliances,287
2022-12,SOUTHEAST,Multiple Streetlight Issue,36
2022-12,SOUTHEAST,Single Streetlight Issue,48
2022-12,SOUTHWEST,Bulky Items,2141
2022-12,SOUTHWEST,Dead Animal Removal,134
2022-12,SOUTHWEST,Electronic Waste,155
2022-12,SOUTHWEST,Graffiti Removal,551
2022-12,SOUTHWEST,Homeless Encampment,123
2022-12,SOUTHWEST,Illegal Dumping Pickup,468
2022-12,SOUTHWEST,Metal/Household Appliances,376
2022-12,SOUTHWEST,Multiple Streetlight Issue,83
2022-12,SOUTHWEST,Single Streetlight Issue,92
2022-12,TOPANGA,Bulky Items,2676
2022-12,TOPANGA,Dead Animal Removal,93
2022-12,TOPANGA,Electronic Waste,186
2022-12,TOPANGA,Graffiti Removal,415
2022-12,TOPANGA,Homeless Encampment,272
2022-12,TOPANGA,Illegal Dumping Pickup,291
2022-12,TOPANGA,Metal/Household Appliances,582
2022-12,TOPANGA,Multiple Streetlight Issue,35
2022-12,TOPANGA,Single Streetlight Issue,65
2022-12,VAN NUYS,Bulky Items,2306
2022-12,VAN NUYS,Dead Animal Removal,84
2022-12,VAN NUYS,Electronic Waste,131
2022-12,VAN NUYS,Graffiti Removal,783
2022-12,VAN NUYS,Homeless Encampment,146
2022-12,VAN NUYS,Illegal Dumping Pickup,296
2022-12,VAN NUYS,Metal/Household Appliances,283
2022-12,VAN NUYS,Multiple Streetlight Issue,57
2022-12,VAN NUYS,Single Streetlight Issue,46
2022-12,WEST LOS ANGELES,Bulky Items,2097
2022-12,WEST LOS ANGELES,Dead Animal Removal,83
2022-12,WEST LOS ANGELES,Electronic Waste,144
2022-12,WEST LOS ANGELES,Graffiti Removal,363
2022-12,WEST LOS ANGELES,Homeless Encampment,166
2022-12,WEST LOS ANGELES,Illegal Dumping Pickup,174
2022-12,WEST LOS ANGELES,Metal/Household Appliances,415
2022-12,WEST LOS ANGELES,Multiple Streetlight Issue,18
2022-12,WEST LOS ANGELES,Single Streetlight Issue,67
2022-12,WEST VALLEY,Bulky Items,2480
2022-12,WEST VALLEY,Dead Animal Removal,126
2022-12,WEST VALLEY,Electronic Waste,169
2022-12,WEST VALLEY,Graffiti Removal,921
2022-12,WEST VALLEY,Homeless Encampment,186
2022-12,WEST VALLEY,Illegal Dumping Pickup,338
2022-12,WEST VALLEY,Metal/Household Appliances,496
2022-12,WEST VALLEY,Multiple Streetlight Issue,45
2022-12,WEST VALLEY,Single Streetlight Issue,44
2022-12,WILSHIRE,Bulky Items,2110
2022-12,WILSHIRE,Dead Animal Removal,92
2022-12,WILSHIRE,Electronic Waste,113
2022-12,WILSHIRE,Graffiti Removal,450
2022-12,WILSHIRE,Homeless Encampment,390
2022-12,WILSHIRE,Illegal Dumping Pickup,247
2022-12,WILSHIRE,Metal/Household Appliances,353
2022-12,WILSHIRE,Multiple Streetlight Issue,72
2022-12,WILSHIRE,Single Streetlight Issue,58
2023-01,77TH STREET,Bulky Items,2813
2023-01,77TH STREET,Dead Animal Removal,124
2023-01,77TH STREET,Electronic Waste,169
2023-01,77TH STREET,Graffiti Removal,1480
2023-01,77TH STREET,Homeless Encampment,179
2023-01,77TH STREET,Illegal Dumping Pickup,629
2023-01,77TH STREET,Metal/Household Appliances,390
2023-01,77TH STREET,Multiple Streetlight Issue,78
2023-01,77TH STREET,Single Streetlight Issue,78
2023-01,CENTRAL,Bulky Items,319
2023-01,CENTRAL,Dead Animal Removal,10
2023-01,CENTRAL,Electronic Waste,12
2023-01,CENTRAL,Graffiti Removal,1617
2023-01,CENTRAL,Homeless Encampment,105
2023-01,CENTRAL,Illegal Dumping Pickup,59
2023-01,CENTRAL,Metal/Household Appliances,39
2023-01,CENTRAL,Multiple Streetlight Issue,53
2023-01,CENTRAL,Single Streetlight Issue,206
2023-01,DEVONSHIRE,Bulky Items,3583
2023-01,DEVONSHIRE,Dead Animal Removal,170
2023-01,DEVONSHIRE,Electronic Waste,214
2023-01,DEVONSHIRE,Graffiti Removal,700
2023-01,DEVONSHIRE,Homeless Encampment,265
2023-01,DEVONSHIRE,Illegal Dumping Pickup,313
2023-01,DEVONSHIRE,Metal/Household Appliances,710
2023-01,DEVONSHIRE,Multiple Streetlight Issue,96
2023-01,DEVONSHIRE,Single Streetlight Issue,68
2023-01,FOOTHILL,Bulky Items,2872
2023-01,FOOTHILL,Dead Animal Removal,152
2023-01,FOOTHILL,Electronic Waste,195
2023-01,FOOTHILL,Graffiti Removal,658
2023-01,FOOTHILL,Homeless Encampment,201
2023-01,FOOTHILL,Illegal Dumping Pickup,386
2023-01,FOOTHILL,Metal/Household Appliances,391
2023-01,FOOTHILL,Multiple Streetlight Issue,69
2023-01,FOOTHILL,Single Streetlight Issue,50
2023-01,HARBOR,Bulky Items,2695
2023-01,HARBOR,Dead Animal Removal,94
2023-01,HARBOR,Electronic Waste,171
2023-01,HARBOR,Graffiti Removal,1476
2023-01,HARBOR,Homeless Encampment,110
2023-01,HARBOR,Illegal Dumping Pickup,336
2023-01,HARBOR,Metal/Household Appliances,551
2023-01,HARBOR,Multiple Streetlight Issue,18
2023-01,HARBOR,Single Streetlight Issue,50
2023-01,HOLLENBECK,Bulky Items,2166
2023-01,HOLLENBECK,Dead Animal Removal,88
2023-01,HOLLENBECK,Electronic Waste,130
2023-01,HOLLENBECK,Graffiti Removal,2876
2023-01,HOLLENBECK,Homeless Encampment,283
2023-01,HOLLENBECK,Illegal Dumping Pickup,273
2023-01,HOLLENBECK,Metal/Household Appliances,319
2023-01,HOLLENBECK,Multiple Streetlight Issue,76
2023-01,HOLLENBECK,Single Streetlight Issue,72
2023-01,HOLLYWOOD,Bulky Items,2187
2023-01,HOLLYWOOD,Dead Animal Removal,31
2023-01,HOLLYWOOD,Electronic Waste,90
2023-01,HOLLYWOOD,Graffiti Removal,1061
2023-01,HOLLYWOOD,Homeless Encampment,360
2023-01,HOLLYWOOD,Illegal Dumping Pickup,209
2023-01,HOLLYWOOD,Metal/Household Appliances,290
2023-01,HOLLYWOOD,Multiple Streetlight Issue,30
2023-01,HOLLYWOOD,Single Streetlight Issue,76
2023-01,MISSION,Bulky Items,3107
2023-01,MISSION,Dead Animal Removal,124
2023-01,MISSION,Electronic Waste,210
2023-01,MISSION,Graffiti Removal,1463
2023-01,MISSION,Homeless Encampment,111
2023-01,MISSION,Illegal Dumping Pickup,398
2023-01,MISSION,Metal/Household Appliances,462
2023-01,MISSION,Multiple Streetlight Issue,61
2023-01,MISSION,Single Streetlight Issue,95
2023-01,NEWTON,Bulky Items,1553
2023-01,NEWTON,Dead Animal Removal,97
2023-01,NEWTON,Electronic Waste,89
2023-01,NEWTON,Graffiti Removal,3523
2023-01,NEWTON,Homeless Encampment,293
2023-01,NEWTON,Illegal Dumping Pickup,397
2023-01,NEWTON,Metal/Household Appliances,236
2023-01,NEWTON,Multiple Streetlight Issue,118
2023-01,NEWTON,Single Streetlight Issue,62
2023-01,NORTH HOLLYWOOD,Bulky Items,3888
2023-01,NORTH HOLLYWOOD,Dead Animal Removal,98
2023-01,NORTH HOLLYWOOD,Electronic Waste,175
2023-01,NORTH HOLLYWOOD,Graffiti Removal,1394
2023-01,NORTH HOLLYWOOD,Homeless Encampment,449
2023-01,NORTH HOLLYWOOD,Illegal Dumping Pickup,407
2023-01,NORTH HOLLYWOOD,Metal/Household Appliances,495
2023-01,NORTH HOLLYWOOD,Multiple Streetlight Issue,194
2023-01,NORTH HOLLYWOOD,Single Streetlight Issue,81
2023-01,NORTHEAST,Bulky Items,4420
2023-01,NORTHEAST,Dead Animal Removal,129
2023-01,NORTHEAST,Electronic Waste,253
2023-01,NORTHEAST,Graffiti Removal,1293
2023-01,NORTHEAST,Homeless Encampment,277
2023-01,NORTHEAST,Illegal Dumping Pickup,325
2023-01,NORTHEAST,Metal/Household Appliances,666
2023-01,NORTHEAST,Multiple Streetlight Issue,32
2023-01,NORTHEAST,Single Streetlight Issue,54
2023-01,OLYMPIC,Bulky Items,2125
2023-01,OLYMPIC,Dead Animal Removal,51
2023-01,OLYMPIC,Electronic Waste,87
2023-01,OLYMPIC,Graffiti Removal,1446
2023-01,OLYMPIC,Homeless Encampment,291
2023-01,OLYMPIC,Illegal Dumping Pickup,302
2023-01,OLYMPIC,Metal/Household Appliances,228
2023-01,OLYMPIC,Multiple Streetlight Issue,62
2023-01,OLYMPIC,Single Streetlight Issue,60
2023-01,PACIFIC,Bulky Items,3163
2023-01,PACIFIC,Dead Animal Removal,87
2023-01,PACIFIC,Electronic Waste,146
2023-01,PACIFIC,Graffiti Removal,510
2023-01,PACIFIC,Homeless Encampment,380
2023-01,PACIFIC,Illegal Dumping Pickup,221
2023-01,PACIFIC,Metal/Household Appliances,514
2023-01,PACIFIC,Multiple Streetlight Issue,24
2023-01,PACIFIC,Single Streetlight Issue,50
2023-01,RAMPART,Bulky Items,1830
2023-01,RAMPART,Dead Animal Removal,69
2023-01,RAMPART,Electronic Waste,73
2023-01,RAMPART,Graffiti Removal,2559
2023-01,RAMPART,Homeless Encampment,393
2023-01,RAMPART,Illegal Dumping Pickup,400
2023-01,RAMPART,Metal/Household Appliances,209
2023-01,RAMPART,Multiple Streetlight Issue,75
2023-01,RAMPART,Single Streetlight Issue,69
2023-01,SOUTHEAST,Bulky Items,1633
2023-01,SOUTHEAST,Dead Animal Removal,129
2023-01,SOUTHEAST,Electronic Waste,86
2023-01,SOUTHEAST,Graffiti Removal,1217
2023-01,SOUTHEAST,Homeless Encampment,131
2023-01,SOUTHEAST,Illegal Dumping Pickup,519
2023-01,SOUTHEAST,Metal/Household Appliances,264
2023-01,SOUTHEAST,Multiple Streetlight Issue,36
2023-01,SOUTHEAST,Single Streetlight Issue,69
2023-01,SOUTHWEST,Bulky Items,2701
2023-01,SOUTHWEST,Dead Animal Removal,109
2023-01,SOUTHWEST,Electronic Waste,148
2023-01,SOUTHWEST,Graffiti Removal,692
2023-01,SOUTHWEST,Homeless Encampment,190
2023-01,SOUTHWEST,Illegal Dumping Pickup,599
2023-01,SOUTHWEST,Metal/Household Appliances,391
2023-01,SOUTHWEST,Multiple Streetlight Issue,57
2023-01,SOUTHWEST,Single Streetlight Issue,76
2023-01,TOPANGA,Bulky Items,2772
2023-01,TOPANGA,Dead Animal Removal,97
2023-01,TOPANGA,Electronic Waste,172
2023-01,TOPANGA,Graffiti Removal,409
2023-01,TOPANGA,Homeless Encampment,272
2023-01,TOPANGA,Illegal Dumping Pickup,236
2023-01,TOPANGA,Metal/Household Appliances,534
2023-01,TOPANGA,Multiple Streetlight Issue,28
2023-01,TOPANGA,Single Streetlight Issue,76
2023-01,VAN NUYS,Bulky Items,3110
2023-01,VAN NUYS,Dead Animal Removal,81
2023-01,VAN NUYS,Electronic Waste,148
2023-01,VAN NUYS,Graffiti Removal,695
2023-01,VAN NUYS,Homeless Encampment,132
2023-01,VAN NUYS,Illegal Dumping Pickup,278
2023-01,VAN NUYS,Metal/Household Appliances,314
2023-01,VAN NUYS,Multiple Streetlight Issue,48
2023-01,VAN NUYS,Single Streetlight Issue,52
2023-01,WEST LOS ANGELES,Bulky Items,3257
2023-01,WEST LOS ANGELES,Dead Animal Removal,77
2023-01,WEST LOS ANGELES,Electronic Waste,164
2023-01,WEST LOS ANGELES,Graffiti Removal,212
2023-01,WEST LOS ANGELES,Homeless Encampment,243
2023-01,WEST LOS ANGELES,Illegal Dumping Pickup,214
2023-01,WEST LOS ANGELES,Metal/Household Appliances,465
2023-01,WEST LOS ANGELES,Multiple Streetlight Issue,31
2023-01,WEST LOS ANGELES,Single Streetlight Issue,99
2023-01,WEST VALLEY,Bulky Items,2987
2023-01,WEST VALLEY,Dead Animal Removal,100
2023-01,WEST VALLEY,Electronic Waste,167
2023-01,WEST VALLEY,Graffiti Removal,951
2023-01,WEST VALLEY,Homeless Encampment,171
2023-01,WEST VALLEY,Illegal Dumping Pickup,360
2023-01,WEST VALLEY,Metal/Household Appliances,482
2023-01,WEST VALLEY,Multiple Streetlight Issue,52
2023-01,WEST VALLEY,Single Streetlight Issue,72
2023-01,WILSHIRE,Bulky Items,2760
2023-01,WILSHIRE,Dead Animal Removal,66
2023-01,WILSHIRE,Electronic Waste,132
2023-01,WILSHIRE,Graffiti Removal,517
2023-01,WILSHIRE,Homeless Encampment,408
2023-01,WILSHIRE,Illegal Dumping Pickup,267
2023-01,WILSHIRE,Metal/Household Appliances,387
2023-01,WILSHIRE,Multiple Streetlight Issue,71
2023-01,WILSHIRE,Single Streetlight Issue,72
2023-02,77TH STREET,Bulky Items,2217
2023-02,77TH STREET,Dead Animal Removal,136
2023-02,77TH STREET,Electronic Waste,144
2023-02,77TH STREET,Graffiti Removal,1237
2023-02,77TH STREET,Homeless Encampment,211
2023-02,77TH STREET,Illegal Dumping Pickup,553
2023-02,77TH STREET,Metal/Household Appliances,344
2023-02,77TH STREET,Multiple Streetlight Issue,56
2023-02,77TH STREET,Single Streetlight Issue,73
2023-02,CENTRAL,Bulky Items,219
2023-02,CENTRAL,Dead Animal Removal,11
2023-02,CENTRAL,Electronic Waste,14
2023-02,CENTRAL,Graffiti Removal,1369
2023-02,CENTRAL,Homeless Encampment,115
2023-02,CENTRAL,Illegal Dumping Pickup,95
2023-02,CENTRAL,Metal/Household Appliances,40
2023-02,CENTRAL,Multiple Streetlight Issue,36
2023-02,CENTRAL,Single Streetlight Issue,34
2023-02,DEVONSHIRE,Bulky Items,2541
2023-02,DEVONSHIRE,Dead Animal Removal,113
2023-02,DEVONSHIRE,Electronic Waste,183
2023-02,DEVONSHIRE,Graffiti Removal,609
2023-02,DEVONSHIRE,Homeless Encampment,256
2023-02,DEVONSHIRE,Illegal Dumping Pickup,283
2023-02,DEVONSHIRE,Metal/Household Appliances,571
2023-02,DEVONSHIRE,Multiple Streetlight Issue,97
2023-02,DEVONSHIRE,Single Streetlight Issue,63
2023-02,FOOTHILL,Bulky Items,2186
2023-02,FOOTHILL,Dead Animal Removal,103
2023-02,FOOTHILL,Electronic Waste,180
2023-02,FOOTHILL,Graffiti Removal,409
2023-02,FOOTHILL,Homeless Encampment,185
2023-02,FOOTHILL,Illegal Dumping Pickup,390
2023-02,FOOTHILL,Metal/Household Appliances,321
2023-02,FOOTHILL,Multiple Streetlight Issue,57
2023-02,FOOTHILL,Single Streetlight Issue,64
2023-02,HARBOR,Bulky Items,2063
2023-02,HARBOR,Dead Animal Removal,68
2023-02,HARBOR,Electronic Waste,149
2023-02,HARBOR,Graffiti Removal,1561
2023-02,HARBOR,Homeless Encampment,84
2023-02,HARBOR,Illegal Dumping Pickup,293
2023-02,HARBOR,Metal/Household Appliances,493
2023-02,HARBOR,Multiple Streetlight Issue,9
2023-02,HARBOR,Single Streetlight Issue,19
2023-02,HOLLENBECK,Bulky Items,1584
2023-02,HOLLENBECK,Dead Animal Removal,88
2023-02,HOLLENBECK,Electronic Waste,105
2023-02,HOLLENBECK,Graffiti Removal,2630
2023-02,HOLLENBECK,Homeless Encampment,268
2023-02,HOLLENBECK,Illegal Dumping Pickup,289
2023-02,HOLLENBECK,Metal/Household Appliances,243
2023-02,HOLLENBECK,Multiple Streetlight Issue,46
2023-02,HOLLENBECK,Single Streetlight Issue,79
2023-02,HOLLYWOOD,Bulky Items,1481
2023-02,HOLLYWOOD,Dead Animal Removal,30
2023-02,HOLLYWOOD,Electronic Waste,71
2023-02,HOLLYWOOD,Graffiti Removal,1200
2023-02,HOLLYWOOD,Homeless Encampment,315
2023-02,HOLLYWOOD,Illegal Dumping Pickup,148
2023-02,HOLLYWOOD,Metal/Household Appliances,254
2023-02,HOLLYWOOD,Multiple Streetlight Issue,25
2023-02,HOLLYWOOD,Single Streetlight Issue,93
2023-02,MISSION,Bulky Items,2473
2023-02,MISSION,Dead Animal Removal,136
2023-02,MISSION,Electronic Waste,184
2023-02,MISSION,Graffiti Removal,1406
2023-02,MISSION,Homeless Encampment,138
2023-02,MISSION,Illegal Dumping Pickup,414
2023-02,MISSION,Metal/Household Appliances,432
2023-02,MISSION,Multiple Streetlight Issue,59
2023-02,MISSION,Single Streetlight Issue,73
2023-02,NEWTON,Bulky Items,1255
2023-02,NEWTON,Dead Animal Removal,83
2023-02,NEWTON,Electronic Waste,89
2023-02,NEWTON,Graffiti Removal,2865
2023-02,NEWTON,Homeless Encampment,279
2023-02,NEWTON,Illegal Dumping Pickup,391
2023-02,NEWTON,Metal/Household Appliances,189
2023-02,NEWTON,Multiple Streetlight Issue,117
2023-02,NEWTON,Single Streetlight Issue,39
2023-02,NORTH HOLLYWOOD,Bulky Items,2590
2023-02,NORTH HOLLYWOOD,Dead Animal Removal,82
2023-02,NORTH HOLLYWOOD,Electronic Waste,149
2023-02,NORTH HOLLYWOOD,Graffiti Removal,1186
2023-02,NORTH HOLLYWOOD,Homeless Encampment,298
2023-02,NORTH HOLLYWOOD,Illegal Dumping Pickup,345
2023-02,NORTH HOLLYWOOD,Metal/Household Appliances,438
2023-02,NORTH HOLLYWOOD,Multiple Streetlight Issue,131
2023-02,NORTH HOLLYWOOD,Single Streetlight Issue,73
2023-02,NORTHEAST,Bulky Items,2810
2023-02,NORTHEAST,Dead Animal Removal,122
2023-02,NORTHEAST,Electronic Waste,171
2023-02,NORTHEAST,Graffiti Removal,1246
2023-02,NORTHEAST,Homeless Encampment,194
2023-02,NORTHEAST,Illegal Dumping Pickup,264
2023-02,NORTHEAST,Metal/Household Appliances,520
2023-02,NORTHEAST,Multiple Streetlight Issue,25
2023-02,NORTHEAST,Single Streetlight Issue,38
2023-02,OLYMPIC,Bulky Items,1477
2023-02,OLYMPIC,Dead Animal Removal,57
2023-02,OLYMPIC,Electronic Waste,106
2023-02,OLYMPIC,Graffiti Removal,1123
2023-02,OLYMPIC,Homeless Encampment,263
2023-02,OLYMPIC,Illegal Dumping Pickup,272
2023-02,OLYMPIC,Metal/Household Appliances,209
2023-02,OLYMPIC,Multiple Streetlight Issue,32
2023-02,OLYMPIC,Single Streetlight Issue,30
2023-02,PACIFIC,Bulky Items,2205
2023-02,PACIFIC,Dead Animal Removal,76
2023-02,PACIFIC,Electronic Waste,132
2023-02,PACIFIC,Graffiti Removal,474
2023-02,PACIFIC,Homeless Encampment,298
2023-02,PACIFIC,Illegal Dumping Pickup,170
2023-02,PACIFIC,Metal/Household Appliances,426
2023-02,PACIFIC,Multiple Streetlight Issue,19
2023-02,PACIFIC,Single Streetlight Issue,46
2023-02,RAMPART,Bulky Items,1274
2023-02,RAMPART,Dead Animal Removal,38
2023-02,RAMPART,Electronic Waste,76
2023-02,RAMPART,Graffiti Removal,2451
2023-02,RAMPART,Homeless Encampment,388
2023-02,RAMPART,Illegal Dumping Pickup,315
2023-02,RAMPART,Metal/Household Appliances,167
2023-02,RAMPART,Multiple Streetlight Issue,54
2023-02,RAMPART,Single Streetlight Issue,63
2023-02,SOUTHEAST,Bulky Items,1534
2023-02,SOUTHEAST,Dead Animal Removal,104
2023-02,SOUTHEAST,Electronic Waste,86
2023-02,SOUTHEAST,Graffiti Removal,1080
2023-02,SOUTHEAST,Homeless Encampment,131
2023-02,SOUTHEAST,Illegal Dumping Pickup,481
2023-02,SOUTHEAST,Metal/Household Appliances,254
2023-02,SOUTHEAST,Multiple Streetlight Issue,34
2023-02,SOUTHEAST,Single Streetlight Issue,52
2023-02,SOUTHWEST,Bulky Items,1905
2023-02,SOUTHWEST,Dead Animal Removal,78
2023-02,SOUTHWEST,Electronic Waste,132
2023-02,SOUTHWEST,Graffiti Removal,572
2023-02,SOUTHWEST,Homeless Encampment,141
2023-02,SOUTHWEST,Illegal Dumping Pickup,470
2023-02,SOUTHWEST,Metal/Household Appliances,339
2023-02,SOUTHWEST,Multiple Streetlight Issue,55
2023-02,SOUTHWEST,Single Streetlight Issue,58
2023-02,TOPANGA,Bulky Items,2251
2023-02,TOPANGA,Dead Animal Removal,89
2023-02,TOPANGA,Electronic Waste,148
2023-02,TOPANGA,Graffiti Removal,403
2023-02,TOPANGA,Homeless Encampment,216
2023-02,TOPANGA,Illegal Dumping Pickup,229
2023-02,TOPANGA,Metal/Household Appliances,465
2023-02,TOPANGA,Multiple Streetlight Issue,27
2023-02,TOPANGA,Single Streetlight Issue,67
2023-02,VAN NUYS,Bulky Items,2186
2023-02,VAN NUYS,Dead Animal Removal,76
2023-02,VAN NUYS,Electronic Waste,115
2023-02,VAN NUYS,Graffiti Removal,653
2023-02,VAN NUYS,Homeless Encampment,123
2023-02,VAN NUYS,Illegal Dumping Pickup,256
2023-02,VAN NUYS,Metal/Household Appliances,318
2023-02,VAN NUYS,Multiple Streetlight Issue,65
2023-02,VAN NUYS,Single Streetlight Issue,43
2023-02,WEST LOS ANGELES,Bulky Items,1971
2023-02,WEST LOS ANGELES,Dead Animal Removal,82
2023-02,WEST LOS ANGELES,Electronic Waste,120
2023-02,WEST LOS ANGELES,Graffiti Removal,252
2023-02,WEST LOS ANGELES,Homeless Encampment,288
2023-02,WEST LOS ANGELES,Illegal Dumping Pickup,174
2023-02,WEST LOS ANGELES,Metal/Household Appliances,438
2023-02,WEST LOS ANGELES,Multiple Streetlight Issue,20
2023-02,WEST LOS ANGELES,Single Streetlight Issue,55
2023-02,WEST VALLEY,Bulky Items,2350
2023-02,WEST VALLEY,Dead Animal Removal,82
2023-02,WEST VALLEY,Electronic Waste,122
2023-02,WEST VALLEY,Graffiti Removal,936
2023-02,WEST VALLEY,Homeless Encampment,209
2023-02,WEST VALLEY,Illegal Dumping Pickup,367
2023-02,WEST VALLEY,Metal/Household Appliances,450
2023-02,WEST VALLEY,Multiple Streetlight Issue,30
2023-02,WEST VALLEY,Single Streetlight Issue,42
2023-02,WILSHIRE,Bulky Items,1908
2023-02,WILSHIRE,Dead Animal Removal,57
2023-02,WILSHIRE,Electronic Waste,120
2023-02,WILSHIRE,Graffiti Removal,575
2023-02,WILSHIRE,Homeless Encampment,293
2023-02,WILSHIRE,Illegal Dumping Pickup,228
2023-02,WILSHIRE,Metal/Household Appliances,343
2023-02,WILSHIRE,Multiple Streetlight Issue,81
2023-02,WILSHIRE,Single Streetlight Issue,70
2023-03,77TH STREET,Bulky Items,2622
2023-03,77TH STREET,Dead Animal Removal,167
2023-03,77TH STREET,Electronic Waste,158
2023-03,77TH STREET,Graffiti Removal,997
2023-03,77TH STREET,Homeless Encampment,200
2023-03,77TH STREET,Illegal Dumping Pickup,627
2023-03,77TH STREET,Metal/Household Appliances,379
2023-03,77TH STREET,Multiple Streetlight Issue,70
2023-03,77TH STREET,Single Streetlight Issue,54
2023-03,CENTRAL,Bulky Items,241
2023-03,CENTRAL,Dead Animal Removal,19
2023-03,CENTRAL,Electronic Waste,12
2023-03,CENTRAL,Graffiti Removal,1471
2023-03,CENTRAL,Homeless Encampment,94
2023-03,CENTRAL,Illegal Dumping Pickup,69
2023-03,CENTRAL,Metal/Household Appliances,37
2023-03,CENTRAL,Multiple Streetlight Issue,107
2023-03,CENTRAL,Single Streetlight Issue,60
2023-03,DEVONSHIRE,Bulky Items,2712
2023-03,DEVONSHIRE,Dead Animal Removal,152
2023-03,DEVONSHIRE,Electronic Waste,182
2023-03,DEVONSHIRE,Graffiti Removal,849
2023-03,DEVONSHIRE,Homeless Encampment,231
2023-03,DEVONSHIRE,Illegal Dumping Pickup,259
2023-03,DEVONSHIRE,Metal/Household Appliances,597
2023-03,DEVONSHIRE,Multiple Streetlight Issue,68
2023-03,DEVONSHIRE,Single Streetlight Issue,73
2023-03,FOOTHILL,Bulky Items,2596
2023-03,FOOTHILL,Dead Animal Removal,108
2023-03,FOOTHILL,Electronic Waste,188
2023-03,FOOTHILL,Graffiti Removal,592
2023-03,FOOTHILL,Homeless Encampment,196
2023-03,FOOTHILL,Illegal Dumping Pickup,450
2023-03,FOOTHILL,Metal/Household Appliances,377
2023-03,FOOTHILL,Multiple Streetlight Issue,49
2023-03,FOOTHILL,Single Streetlight Issue,57
2023-03,HARBOR,Bulky Items,2456
2023-03,HARBOR,Dead Animal Removal,70
2023-03,HARBOR,Electronic Waste,164
2023-03,HARBOR,Graffiti Removal,1455
2023-03,HARBOR,Homeless Encampment,75
2023-03,HARBOR,Illegal Dumping Pickup,345
2023-03,HARBOR,Metal/Household Appliances,574
2023-03,HARBOR,Multiple Streetlight Issue,17
2023-03,HARBOR,Single Streetlight Issue,37
2023-03,HOLLENBECK,Bulky Items,1866
2023-03,HOLLENBECK,Dead Animal Removal,82
2023-03,HOLLENBECK,Electronic Waste,106
2023-03,HOLLENBECK,Graffiti Removal,2552
2023-03,HOLLENBECK,Homeless Encampment,179
2023-03,HOLLENBECK,Illegal Dumping Pickup,247
2023-03,HOLLENBECK,Metal/Household Appliances,288
2023-03,HOLLENBECK,Multiple Streetlight Issue,53
2023-03,HOLLENBECK,Single Streetlight Issue,65
2023-03,HOLLYWOOD,Bulky Items,1655
2023-03,HOLLYWOOD,Dead Animal Removal,39
2023-03,HOLLYWOOD,Electronic Waste,106
2023-03,HOLLYWOOD,Graffiti Removal,1178
2023-03,HOLLYWOOD,Homeless Encampment,285
2023-03,HOLLYWOOD,Illegal Dumping Pickup,212
2023-03,HOLLYWOOD,Metal/Household Appliances,325
2023-03,HOLLYWOOD,Multiple Streetlight Issue,12
2023-03,HOLLYWOOD,Single Streetlight Issue,43
2023-03,MISSION,Bulky Items,2954
2023-03,MISSION,Dead Animal Removal,130
2023-03,MISSION,Electronic Waste,193
2023-03,MISSION,Graffiti Removal,1388
2023-03,MISSION,Homeless Encampment,106
2023-03,MISSION,Illegal Dumping Pickup,438
2023-03,MISSION,Metal/Household Appliances,480
2023-03,MISSION,Multiple Streetlight Issue,51
2023-03,MISSION,Single Streetlight Issue,64
2023-03,NEWTON,Bulky Items,1344
2023-03,NEWTON,Dead Animal Removal,76
2023-03,NEWTON,Electronic Waste,69
2023-03,NEWTON,Graffiti Removal,3111
2023-03,NEWTON,Homeless Encampment,271
2023-03,NEWTON,Illegal Dumping Pickup,419
2023-03,NEWTON,Metal/Household Appliances,207
2023-03,NEWTON,Multiple Streetlight Issue,88
2023-03,NEWTON,Single Streetlight Issue,73
2023-03,NORTH HOLLYWOOD,Bulky Items,3047
2023-03,NORTH HOLLYWOOD,Dead Animal Removal,89
2023-03,NORTH HOLLYWOOD,Electronic Waste,168
2023-03,NORTH HOLLYWOOD,Graffiti Removal,1470
2023-03,NORTH HOLLYWOOD,Homeless Encampment,332
2023-03,NORTH HOLLYWOOD,Illegal Dumping Pickup,493
2023-03,NORTH HOLLYWOOD,Metal/Household Appliances,491
2023-03,NORTH HOLLYWOOD,Multiple Streetlight Issue,115
2023-03,NORTH HOLLYWOOD,Single Streetlight Issue,79
2023-03,NORTHEAST,Bulky Items,3240
2023-03,NORTHEAST,Dead Animal Removal,117
2023-03,NORTHEAST,Electronic Waste,221
2023-03,NORTHEAST,Graffiti Removal,1431
2023-03,NORTHEAST,Homeless Encampment,301
2023-03,NORTHEAST,Illegal Dumping Pickup,289
2023-03,NORTHEAST,Metal/Household Appliances,592
2023-03,NORTHEAST,Multiple Streetlight Issue,28
2023-03,NORTHEAST,Single Streetlight Issue,48
